0,1,2
484,5,87
485,6,87
486,8,87
487,9,87
488,10,87
489,11,87
490,12,87
491,13,87
492,14,88
493,15,88
494,16,87
495,17,87
496,1,87
497,2,87
498,3,87
499,4,88
500,5,87
501,6,87
502,8,87
503,9,87
504,10,87
505,11,87
506,12,87
507,13,87
508,14,88
509,15,88
510,16,87
511,17,87
512,1,87
513,2,87
514,3,87
515,4,88
516,5,87
517,6,87
518,8,87
519,9,87
520,10,87
521,11,87
522,12,87
523,13,87
524,14,88
525,15,88
526,16,87
527,17,87
528,1,87
529,2,87
530,3,87
531,4,88
532,5,87
533,6,87
534,8,87
535,9,87
536,10,87
537,11,87
538,12,87
539,13,87
540,14,88
541,15,88
542,16,87
543,17,87
544,1,87
545,2,87
546,3,87
547,4,88
548,5,87
549,6,87
550,8,87
551,9,87
552,10,87
553,11,87
554,12,87
555,13,87
556,14,88
557,15,88
558,16,87
559,17,87
560,1,87
561,2,87
562,3,87
563,4,88
564,5,87
565,6,87
566,8,87
567,9,87
568,10,87
569,11,87
570,12,87
571,13,87
572,14,88
573,15,88
574,16,87
575,17,87
576,1,87
577,2,87
578,3,87
579,4,88
580,5,87
581,6,87
582,8,87
583,9,87
584,10,87
585,11,87
586,12,87
587,13,87
588,14,88
589,15,88
590,16,87
591,17,87
592,1,87
593,2,87
594,3,87
595,4,88
596,5,87
597,6,87
598,8,87
599,9,87
600,10,87
601,11,87
602,12,87
603,13,87
604,14,88
605,15,88
606,16,87
607,17,87
608,1,87
609,2,87
610,3,87
611,4,88
612,5,87
613,6,87
614,8,87
615,9,87
616,10,87
617,11,87
618,12,87
619,13,87
620,14,88
621,15,88
622,16,88
623,17,87
624,1,87
625,2,87
626,3,87
627,4,88
628,5,87
629,6,89
630,8,87
631,9,87
632,10,87
633,11,87
634,12,88
635,13,88
636,14,89
637,15,90
638,16,88
639,17,88
640,1,87
641,2,87
642,3,89
643,4,91
644,5,88
645,6,89
646,8,88
647,9,88
648,10,89
649,11,88
650,12,89
651,13,89
652,14,90
653,15,90
654,16,89
655,17,89
656,1,89
657,2,88
658,3,89
659,4,91
660,5,89
661,6,91
662,8,89
663,9,89
664,10,89
665,11,89
666,12,89
667,13,89
668,14,91
669,15,91
670,16,90
671,17,90
672,1,89
673,2,88
674,3,91
675,4,92
676,5,90
677,6,91
678,8,89
679,9,90
680,10,89
681,11,90
682,12,91
683,13,92
684,14,92
685,15,92
686,16,91
687,17,91
688,1,91
689,2,89
690,3,92
691,4,92
692,5,94
693,6,92
694,8,91
695,9,92
696,10,91
697,11,91
698,12,92
699,13,92
700,14,93
701,15,93
702,16,94
703,17,93
704,1,94
705,2,94
706,3,93
707,4,94
708,5,94
709,6,96
710,8,94
711,9,94
712,10,95
713,11,94
714,12,94
715,13,95
716,14,94
717,15,96
718,16,95
719,17,97
720,1,98
721,2,98
722,3,98
723,4,98
724,5,97
725,6,101
726,8,98
727,9,97
728,10,99
729,11,96
730,12,100
731,13,99
732,14,99
733,15,101
734,16,97
735,17,99
736,1,102
737,2,101
738,3,100
739,4,103
740,5,104
741,6,105
742,8,102
743,9,104
744,10,103
745,11,104
746,12,102
747,13,103
748,14,105
749,15,104
750,16,105
751,17,105
752,1,106
753,2,105
754,3,105
755,4,109
756,5,105
757,6,108
758,8,106
759,9,105
760,10,106
761,11,105
762,12,108
763,13,107
764,14,110
765,15,109
766,16,106
767,17,107
768,1,108
769,2,107
770,3,108
771,4,110
772,5,108
773,6,110
774,8,108
775,9,109
776,10,108
777,11,108
778,12,109
779,13,109
780,14,110
781,15,110
782,16,109
783,17,109
784,1,111
785,2,109
786,3,109
787,4,112
788,5,112
789,6,113
790,8,113
791,9,113
792,10,112
793,11,112
794,12,111
795,13,112
796,14,112
797,15,112
798,16,113
799,17,112
800,1,114
801,2,112
802,3,111
803,4,115
804,5,114
805,6,114
806,8,114
807,9,115
808,10,113
809,11,114
810,12,113
811,13,114
812,14,115
813,15,115
814,16,115
815,17,114
816,1,118
817,2,114
818,3,112
819,4,116
820,5,118
821,6,116
822,8,119
823,9,119
824,10,118
825,11,118
826,12,114
827,13,116
828,14,117
829,15,118
830,16,118
831,17,118
832,1,121
833,2,119
834,3,117
835,4,118
836,5,121
837,6,120
838,8,122
839,9,122
840,10,121
841,11,120
842,12,121
843,13,120
844,14,121
845,15,121
846,16,121
847,17,122
848,1,123
849,2,122
850,3,121
851,4,121
852,5,124
853,6,123
854,8,125
855,9,125
856,10,124
857,11,124
858,12,123
859,13,123
860,14,123
861,15,124
862,16,124
863,17,125
864,1,126
865,2,126
866,3,124
867,4,124
868,5,126
869,6,126
870,8,126
871,9,126
872,10,126
873,11,126
874,12,126
875,13,125
876,14,127
877,15,127
878,16,125
879,17,125
880,1,127
881,2,127
882,3,127
883,4,127
884,5,128
885,6,128
886,8,128
887,9,128
888,10,128
889,11,128
890,12,127
891,13,128
892,14,127
893,15,129
894,16,128
895,17,129
896,1,130
897,2,129
898,3,128
899,4,129
900,5,130
901,6,129
902,8,130
903,9,130
904,10,130
905,11,130
906,12,129
907,13,129
908,14,130
909,15,130
910,16,130
911,17,130
912,1,130
913,2,130
914,3,130
915,4,130
916,5,130
917,6,130
918,8,130
919,9,130
920,10,130
921,11,130
922,12,131
923,13,130
924,14,131
925,15,131
926,16,130
927,17,130
928,1,130
929,2,130
930,3,131
931,4,131
932,5,130
933,6,131
934,8,130
935,9,130
936,10,130
937,11,130
938,12,131
939,13,131
940,14,131
941,15,132
942,16,130
943,17,131
944,1,131
945,2,131
946,3,131
947,4,132
948,5,131
949,6,131
950,8,131
951,9,131
952,10,131
953,11,131
954,12,131
955,13,131
956,14,132
957,15,132
958,16,131
959,17,131
960,1,131
961,2,131
962,3,131
963,4,132
964,5,131
965,6,131
966,8,131
967,9,131
968,10,131
969,11,131
970,12,131
971,13,131
972,14,132
973,15,132
974,16,131
975,17,131
976,1,131
977,2,131
978,3,131
979,4,132
980,5,131
981,6,131
982,8,131
983,9,131
984,10,131
985,11,131
986,12,131
987,13,131
988,14,132
989,15,132
990,16,131
991,17,131
992,1,131
993,2,131
994,3,131
995,4,132
996,5,131
997,6,131
998,8,131
999,9,131
1000,10,131
1001,11,131
1002,12,131
1003,13,131
1004,14,132
1005,15,132
1006,16,131
1007,17,131
1008,1,131
1009,2,131
1010,3,131
1011,4,132
1012,5,131
1013,6,131
1014,8,131
1015,9,131
1016,10,131
1017,11,131
1018,12,131
1019,13,131
1020,14,132
1021,15,132
1022,16,131
1023,17,131
1024,1,131
1025,2,131
1026,3,131
1027,4,132
1028,5,131
1029,6,131
1030,8,131
1031,9,131
1032,10,131
1033,11,131
1034,12,131
1035,13,131
1036,14,132
1037,15,132
1038,16,131
1039,17,131
1040,1,131
1041,2,131
1042,3,131
1043,4,132
1044,5,131
1045,6,131
1046,8,131
1047,9,131
1048,10,131
1049,11,131
1050,12,131
1051,13,131
1052,14,132
1053,15,132
1054,16,131
1055,17,131
1056,1,131
1057,2,131
1058,3,131
1059,4,132
1060,5,131
1061,6,131
1062,8,131
1063,9,131
1064,10,131
1065,11,131
1066,12,131
1067,13,131
1068,14,132
1069,15,132
1070,16,131
1071,17,131
1072,1,131
1073,2,131
1074,3,131
1075,4,132
1076,5,131
1077,6,131
1078,8,131
1079,9,131
1080,10,131
1081,11,131
1082,12,131
1083,13,131
1084,14,132
1085,15,132
1086,16,131
1087,17,131
1088,1,131
1089,2,131
1090,3,131
1091,4,132
1092,5,131
1093,6,131
1094,8,131
1095,9,131
1096,10,131
1097,11,131
1098,12,131
1099,13,131
1100,14,132
1101,15,132
1102,16,131
1103,17,131
1104,1,131
1105,2,131
1106,3,131
1107,4,132
1108,5,131
1109,6,131
1110,8,131
1111,9,131
1112,10,131
1113,11,131
1114,12,131
1115,13,131
1116,14,132
1117,15,132
1118,16,131
1119,17,131
1120,1,131
1121,2,131
1122,3,131
1123,4,132
1124,5,131
1125,6,131
1126,8,131
1127,9,131
1128,10,131
1129,11,131
1130,12,131
1131,13,131
1132,14,132
1133,15,132
1134,16,131
1135,17,131
1136,1,131
1137,2,131
1138,3,131
1139,4,132
1140,5,131
1141,6,131
1142,8,131
1143,9,131
1144,10,131
1145,11,131
1146,12,131
1147,13,131
1148,14,132
1149,15,132
1150,16,131
1151,17,131
1152,1,131
1153,2,131
1154,3,131
1155,4,132
1156,5,131
1157,6,131
1158,8,131
1159,9,131
1160,10,131
1161,11,131
1162,12,131
1163,13,131
1164,14,132
1165,15,132
1166,16,131
1167,17,131
1168,1,133
1169,2,132
1170,3,131
1171,4,133
1172,5,133
1173,6,131
1174,8,133
1175,9,133
1176,10,132
1177,11,131
1178,12,131
1179,13,131
1180,14,132
1181,15,132
1182,16,131
1183,17,131
1184,1,138
1185,2,138
1186,3,131
1187,4,135
1188,5,139
1189,6,135
1190,8,138
1191,9,139
1192,10,138
1193,11,137
1194,12,131
1195,13,133
1196,14,134
1197,15,135
1198,16,137
1199,17,136
1200,1,144
1201,2,144
1202,3,137
1203,4,142
1204,5,146
1205,6,143
1206,8,144
1207,9,146
1208,10,144
1209,11,144
1210,12,139
1211,13,141
1212,14,142
1213,15,144
1214,16,144
1215,17,144
1216,1,154
1217,2,152
1218,3,156
1219,4,151
1220,5,156
1221,6,155
1222,8,154
1223,9,156
1224,10,152
1225,11,152
1226,12,157
1227,13,155
1228,14,153
1229,15,154
1230,16,155
1231,17,154
1232,1,166
1233,2,159
1234,3,178
1235,4,167
1236,5,169
1237,6,190
1238,8,166
1239,9,168
1240,10,159
1241,11,159
1242,12,176
1243,13,174
1244,14,167
1245,15,170
1246,16,172
1247,17,186
1248,1,225
1249,2,171
1250,3,192
1251,4,191
1252,5,223
1253,6,224
1254,8,225
1255,9,214
1256,10,171
1257,11,170
1258,12,191
1259,13,190
1260,14,192
1261,15,194
1262,16,233
1263,17,224
1264,1,233
1265,2,176
1266,3,211
1267,4,200
1268,5,235
1269,6,244
1270,8,233
1271,9,221
1272,10,176
1273,11,176
1274,12,213
1275,13,210
1276,14,200
1277,15,200
1278,16,245
1279,17,239
1280,1,259
1281,2,181
1282,3,233
1283,4,205
1284,5,260
1285,6,265
1286,8,261
1287,9,246
1288,10,180
1289,11,180
1290,12,231
1291,13,228
1292,14,203
1293,15,205
1294,16,270
1295,17,260
1296,1,292
1297,2,190
1298,3,238
1299,4,1103
1300,5,303
1301,6,1473
1302,8,293
1303,9,279
1304,10,189
1305,11,189
1306,12,235
1307,13,238
1308,14,1103
1309,15,656
1310,16,312
1311,17,720
1312,1,5814
1313,2,196
1314,3,256
1315,4,5789
1316,5,6282
1317,6,5419
1318,8,5816
1319,9,6255
1320,10,195
1321,11,194
1322,12,254
1323,13,246
1324,14,5789
1325,15,5343
1326,16,4531
1327,17,5416
1328,1,15347
1329,2,199
1330,3,323
1331,4,10512
1332,5,15813
1333,6,10201
1334,8,15351
1335,9,15782
1336,10,199
1337,11,198
1338,12,322
1339,13,312
1340,14,10510
1341,15,10062
1342,16,9311
1343,17,10200
1344,1,32650
1345,2,217
1346,3,8292
1347,4,15214
1348,5,33190
1349,6,22883
1350,8,32712
1351,9,33161
1352,10,217
1353,11,214
1354,12,8306
1355,13,8294
1356,14,15218
1357,15,14770
1358,16,21998
1359,17,22889
1360,1,51518
1361,2,2295
1362,3,19302
1363,4,19893
1364,5,53630
1365,6,38565
1366,8,51523
1367,9,51958
1368,10,2296
1369,11,1847
1370,12,19299
1371,13,19298
1372,14,19891
1373,15,19444
1374,16,37701
1375,17,38574
1376,1,71076
1377,2,7073
1378,3,34858
1379,4,24838
1380,5,78020
1381,6,59072
1382,8,71128
1383,9,71556
1384,10,7076
1385,11,6628
1386,12,34872
1387,13,34870
1388,14,24847
1389,15,24394
1390,16,58237
1391,17,59114
1392,1,91183
1393,2,11853
1394,3,50047
1395,4,29539
1396,5,102968
1397,6,78916
1398,8,91295
1399,9,91733
1400,10,11860
1401,11,11406
1402,12,50047
1403,13,50068
1404,14,29546
1405,15,29098
1406,16,78084
1407,17,78966
1408,1,111059
1409,2,16645
1410,3,65567
1411,4,34351
1412,5,127855
1413,6,99183
1414,8,111382
1415,9,111816
1416,10,16648
1417,11,16196
1418,12,65562
1419,13,65565
1420,14,34357
1421,15,33910
1422,16,98353
1423,17,99227
1424,1,131009
1425,2,21423
1426,3,81163
1427,4,39195
1428,5,152635
1429,6,119637
1430,8,131408
1431,9,131822
1432,10,21426
1433,11,20972
1434,12,81165
1435,13,81164
1436,14,39203
1437,15,38760
1438,16,118825
1439,17,119689
1440,1,150987
1441,2,26187
1442,3,96512
1443,4,43957
1444,5,177407
1445,6,139701
1446,8,151408
1447,9,151844
1448,10,26192
1449,11,25738
1450,12,96533
1451,13,96534
1452,14,43961
1453,15,43514
1454,16,138853
1455,17,139733
1456,1,170929
1457,2,30861
1458,3,111742
1459,4,48733
1460,5,201643
1461,6,159841
1462,8,170984
1463,9,171400
1464,10,30866
1465,11,30414
1466,12,111747
1467,13,111748
1468,14,48735
1469,15,48290
1470,16,159008
1471,17,159896
1472,1,190899
1473,2,35645
1474,3,127098
1475,4,53503
1476,5,226543
1477,6,179914
1478,8,191098
1479,9,191524
1480,10,35648
1481,11,35194
1482,12,127092
1483,13,127107
1484,14,53504
1485,15,53071
1486,16,179104
1487,17,179980
1488,1,211113
1489,2,40497
1490,3,142661
1491,4,58228
1492,5,251755
1493,6,199860
1494,8,211456
1495,9,211890
1496,10,40500
1497,11,40046
1498,12,142662
1499,13,142667
1500,14,58234
1501,15,57785
1502,16,199022
1503,17,199906
1504,1,231199
1505,2,45293
1506,3,157357
1507,4,62822
1508,5,276742
1509,6,219301
1510,8,231640
1511,9,232072
1512,10,45299
1513,11,44847
1514,12,157350
1515,13,157350
1516,14,62821
1517,15,62396
1518,16,218424
1519,17,219299
1520,1,250931
1521,2,49936
1522,3,172918
1523,4,67686
1524,5,300715
1525,6,239801
1526,8,250976
1527,9,251406
1528,10,49936
1529,11,49478
1530,12,172924
1531,13,172920
1532,14,67688
1533,15,67239
1534,16,238936
1535,17,239814
1536,1,270955
1537,2,54734
1538,3,188634
1539,4,72586
1540,5,325696
1541,6,260424
1542,8,271160
1543,9,271602
1544,10,54740
1545,11,54284
1546,12,188729
1547,13,188626
1548,14,72592
1549,15,72151
1550,16,259549
1551,17,260461
1552,1,290948
1553,2,59525
1554,3,203969
1555,4,77364
1556,5,350565
1557,6,280584
1558,8,291239
1559,9,291669
1560,10,59529
1561,11,59075
1562,12,203964
1563,13,203961
1564,14,77372
1565,15,76925
1566,16,279742
1567,17,280632
1568,1,310859
1569,2,64314
1570,3,218671
1571,4,81982
1572,5,375411
1573,6,300004
1574,8,311286
1575,9,311722
1576,10,64318
1577,11,63862
1578,12,218668
1579,13,218665
1580,14,81980
1581,15,81531
1582,16,299126
1583,17,300018
1584,1,330722
1585,2,69017
1586,3,234861
1587,4,86920
1588,5,399792
1589,6,320850
1590,8,330963
1591,9,331391
1592,10,69023
1593,11,68567
1594,12,234896
1595,13,234901
1596,14,86938
1597,15,86493
1598,16,320071
1599,17,320921
1600,1,350656
1601,2,73734
1602,3,250445
1603,4,91788
1604,5,424295
1605,6,341382
1606,8,350751
1607,9,351184
1608,10,73737
1609,11,73284
1610,12,250454
1611,13,250446
1612,14,91792
1613,15,91344
1614,16,340549
1615,17,341420
1616,1,370657
1617,2,78557
1618,3,265702
1619,4,96593
1620,5,449290
1621,6,361643
1622,8,370918
1623,9,371360
1624,10,78564
1625,11,78107
1626,12,265698
1627,13,265699
1628,14,96594
1629,15,96147
1630,16,360772
1631,17,361646
1632,1,390756
1633,2,83385
1634,3,281499
1635,4,101478
1636,5,474353
1637,6,382217
1638,8,391165
1639,9,391604
1640,10,83391
1641,11,82937
1642,12,281500
1643,13,281499
1644,14,101485
1645,15,101039
1646,16,381385
1647,17,382269
1648,1,410769
1649,2,88175
1650,3,296619
1651,4,106219
1652,5,499234
1653,6,402193
1654,8,411258
1655,9,411693
1656,10,88178
1657,11,87728
1658,12,296632
1659,13,296652
1660,14,106223
1661,15,105780
1662,16,401379
1663,17,402269
1664,1,430626
1665,2,92801
1666,3,312334
1667,4,111050
1668,5,523345
1669,6,422514
1670,8,430744
1671,9,431172
1672,10,92806
1673,11,92354
1674,12,312393
1675,13,312390
1676,14,111058
1677,15,110615
1678,16,421685
1679,17,422567
1680,1,450565
1681,2,97572
1682,3,327981
1683,4,115969
1684,5,548123
1685,6,443230
1686,8,450755
1687,9,451186
1688,10,97576
1689,11,97120
1690,12,327988
1691,13,327992
1692,14,115974
1693,15,115530
1694,16,442397
1695,17,443284
1696,1,470629
1697,2,102390
1698,3,343423
1699,4,120765
1700,5,573197
1701,6,463398
1702,8,471034
1703,9,471457
1704,10,102387
1705,11,101931
1706,12,343430
1707,13,343428
1708,14,120774
1709,15,120323
1710,16,462572
1711,17,463469
1712,1,490663
1713,2,107166
1714,3,358241
1715,4,125429
1716,5,598055
1717,6,482995
1718,8,491107
1719,9,491532
1720,10,107171
1721,11,106717
1722,12,358242
1723,13,358242
1724,14,125420
1725,15,124972
1726,16,482175
1727,17,483057
1728,1,510455
1729,2,111795
1730,3,373865
1731,4,130253
1732,5,622105
1733,6,503364
1734,8,510518
1735,9,510966
1736,10,111799
1737,11,111345
1738,12,373865
1739,13,373865
1740,14,130260
1741,15,129814
1742,16,502560
1743,17,503451
1744,1,530417
1745,2,116557
1746,3,389050
1747,4,135029
1748,5,646860
1749,6,523437
1750,8,530524
1751,9,530955
1752,10,116560
1753,11,116110
1754,12,389078
1755,13,389070
1756,14,135041
1757,15,134593
1758,16,522581
1759,17,523511
1760,1,550860
1761,2,121486
1762,3,405836
1763,4,140003
1764,5,672452
1765,6,544439
1766,8,551185
1767,9,551615
1768,10,121494
1769,11,121034
1770,12,405835
1771,13,405832
1772,14,140018
1773,15,139571
1774,16,543603
1775,17,544483
1776,1,570936
1777,2,126296
1778,3,421103
1779,4,144814
1780,5,697452
1781,6,564697
1782,8,571387
1783,9,571813
1784,10,126298
1785,11,125844
1786,12,421117
1787,13,421116
1788,14,144826
1789,15,144375
1790,16,563817
1791,17,564717
1792,1,590854
1793,2,130952
1794,3,436219
1795,4,149526
1796,5,721730
1797,6,584565
1798,8,590995
1799,9,591421
1800,10,130958
1801,11,130504
1802,12,436241
1803,13,436244
1804,14,149532
1805,15,149089
1806,16,583717
1807,17,584593
1808,1,610854
1809,2,135700
1810,3,451327
1811,4,154282
1812,5,746394
1813,6,604593
1814,8,610907
1815,9,611331
1816,10,135706
1817,11,135258
1818,12,451325
1819,13,451384
1820,14,154296
1821,15,153837
1822,16,603733
1823,17,604629
1824,1,630838
1825,2,140522
1826,3,465755
1827,4,158800
1828,5,771392
1829,6,623695
1830,8,631093
1831,9,631531
1832,10,140526
1833,11,140070
1834,12,465751
1835,13,465748
1836,14,158806
1837,15,158357
1838,16,622833
1839,17,623703
1840,1,650910
1841,2,145294
1842,3,479641
1843,4,163124
1844,5,796312
1845,6,641957
1846,8,651241
1847,9,651679
1848,10,145302
1849,11,144844
1850,12,479639
1851,13,479636
1852,14,163134
1853,15,162685
1854,16,641121
1855,17,642007
1856,1,671022
1857,2,150015
1858,3,494245
1859,4,167595
1860,5,820870
1861,6,660846
1862,8,671049
1863,9,671480
1864,10,150017
1865,11,149563
1866,12,494241
1867,13,494242
1868,14,167593
1869,15,167146
1870,16,659971
1871,17,660846
1872,1,691350
1873,2,154877
1874,3,509068
1875,4,172266
1876,5,846108
1877,6,680557
1878,8,691433
1879,9,691866
1880,10,154881
1881,11,154430
1882,12,509067
1883,13,509074
1884,14,172269
1885,15,171832
1886,16,679748
1887,17,680592
1888,1,711293
1889,2,159673
1890,3,523984
1891,4,176926
1892,5,870980
1893,6,700249
1894,8,711540
1895,9,711976
1896,10,159678
1897,11,159224
1898,12,523982
1899,13,523980
1900,14,176936
1901,15,176489
1902,16,699421
1903,17,700273
1904,1,732218
1905,2,164595
1906,3,539705
1907,4,181800
1908,5,896557
1909,6,720841
1910,8,732225
1911,9,732629
1912,10,164597
1913,11,164143
1914,12,539714
1915,13,539734
1916,14,181806
1917,15,181357
1918,16,720001
1919,17,720875
1920,1,751968
1921,2,169359
1922,3,555191
1923,4,186556
1924,5,921163
1925,6,740861
1926,8,752035
1927,9,752463
1928,10,169363
1929,11,168911
1930,12,555224
1931,13,555222
1932,14,186580
1933,15,186129
1934,16,740105
1935,17,740989
1936,1,772076
1937,2,174179
1938,3,571101
1939,4,191574
1940,5,946217
1941,6,761939
1942,8,772277
1943,9,772723
1944,10,174179
1945,11,173723
1946,12,571104
1947,13,571096
1948,14,191582
1949,15,191133
1950,16,761065
1951,17,761933
1952,1,792090
1953,2,178999
1954,3,586429
1955,4,196296
1956,5,971281
1957,6,781855
1958,8,792509
1959,9,792937
1960,10,179003
1961,11,178549
1962,12,586430
1963,13,586436
1964,14,196302
1965,15,195853
1966,16,781015
1967,17,781885
1968,1,812202
1969,2,183773
1970,3,601085
1971,4,200922
1972,5,996197
1973,6,801337
1974,8,812655
1975,9,813087
1976,10,183777
1977,11,183325
1978,12,601096
1979,13,601096
1980,14,200926
1981,15,200479
1982,16,800509
1983,17,801375
1984,1,831988
1985,2,188415
1986,3,616794
1987,4,205800
1988,5,1020232
1989,6,821898
1990,8,832055
1991,9,832490
1992,10,188421
1993,11,187966
1994,12,616789
1995,13,616784
1996,14,205803
1997,15,205352
1998,16,821042
1999,17,821899
2000,1,852175
2001,2,193274
2002,3,632789
2003,4,210663
2004,5,1045453
2005,6,842471
2006,8,852414
2007,9,852860
2008,10,193277
2009,11,192824
2010,12,632786
2011,13,632784
2012,14,210695
2013,15,210255
2014,16,841599
2015,17,842483
2016,1,872172
2017,2,198075
2018,3,648164
2019,4,215582
2020,5,1070363
2021,6,863067
2022,8,872533
2023,9,872969
2024,10,198082
2025,11,197629
2026,12,648215
2027,13,648212
2028,14,215606
2029,15,215153
2030,16,862273
2031,17,863163
2032,1,892150
2033,2,202869
2034,3,663428
2035,4,220336
2036,5,1095279
2037,6,883097
2038,8,892655
